YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03,WV20
1967,6,31,-9999.0,-9999.0,,,,,,,,-9999.0,-9999.0,,,,-9999.0,-9999.0,,,-1767.8200000000002,-1767.8200000000002,,,,,-9999.0,-9999.0,,,,,-9999.0,-9999.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,1,10.0,0.0,,,,,,,,1518.0,0.0,,,,0.0,0.0,,,71.06,53.06,,,,,315.0,315.0,,,,,139.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,2,20.0,20.0,,,,,,,,1248.0,0.0,,,,0.0,0.0,,,68.0,53.96,,,,,315.0,315.0,,,,,139.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,3,80.0,80.0,,,,,,,,1424.0,0.0,,,,0.0,0.0,,,69.98,53.06,,,,,315.0,315.0,,,,,134.0,125.0,1.0,,,,,,1.0,,,,,,-9999.0,,,,,
1967,7,4,40.0,40.0,,,,,,,,1442.0,0.0,,,,0.0,0.0,,,68.0,51.98,,,,,315.0,315.0,,,,,149.0,139.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,5,30.0,40.0,,,,,,,,1506.0,0.0,,,,0.0,0.0,,,71.06,55.04,,,,,293.0,293.0,,,,,144.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,6,30.0,20.0,,,,,,,,1836.0,0.0,,,,0.0,0.0,,,71.06,55.04,,,,,270.0,270.0,,,,,134.0,112.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,7,40.0,20.0,,,,,,,,1548.0,0.0,,,,0.0,0.0,,,66.02,53.96,,,,,293.0,293.0,,,,,144.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,8,90.0,80.0,,,,,,,,1706.0,0.0,,,,0.0,0.0,,,62.959999999999994,55.04,,,,,270.0,270.0,,,,,159.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,7,9,30.0,10.0,,,,,,,,1730.0,0.0,,,,0.0,0.0,,,68.0,53.06,,,,,293.0,270.0,,,,,129.0,107.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
